PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Atg7,Ubiquitin-like modifier-activating enzyme ATG7,A0A0A0MQN4;Q9D906;S4R2D5,A0A0A0MQN4_MOUSE;ATG7_MOUSE;S4R2D5_MOUSE,";pre-autophagosomal structure,cytoplasm,cytosol,axoneme;",";autophagosome assembly,mitophagy,liver development,protein lipidation,C-terminal protein lipidation,autophagy,cellular response to nitrogen starvation,organelle organization,mitochondrion organization,adult walking behavior,cellular response to starvation,post-embryonic development,protein transport,macroautophagy,cellular homeostasis,cerebellar Purkinje cell layer development,pyramidal neuron development,central nervous system neuron axonogenesis,cerebral cortex development,protein catabolic process,neuron projection development,regulation of protein ubiquitination,positive regulation of protein modification process,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,protein modification by small protein conjugation,cellular response to reactive oxygen species,piecemeal microautophagy of nucleus,positive regulation of insulin secretion involved in cellular response to glucose stimulus,suppression by virus of host autophagy,negative stranded viral RNA replication,response to starvation,positive regulation of apoptotic process,negative regulation of apoptotic process,late nucleophagy,positive regulation of protein catabolic process,negative regulation of phagocytosis,neurological system process,defense response to virus,cardiac muscle cell development,regulation of cell development,negative regulation of cell death,membrane organization,positive regulation of mucus secretion,cellular response to hyperoxia,autophagy of host cells involved in interaction with symbiont,amino acid homeostasis,cellular sphingolipid homeostasis,negative regulation of sphingolipid biosynthesis involved in cellular sphingolipid homeostasis,regulation of hemopoiesis,negative regulation of histone H4-K16 acetylation;",";protein binding,transcription factor binding,Atg12 activating enzyme activity,Atg8 activating enzyme activity,protein homodimerization activity;",4.7002126169963836E-30,1,2,1,2,2,1,2,2,1,2,1,2,2,1,2,2,8.527655601501465,29.088346481323242,12.233012199401855,40.899742126464844,5.726866722106934,9.27475357055664,47.148460388183594,23.339839935302734
Mbnl1,"Muscleblind-like protein 1;Muscleblind-like protein 1;Muscleblind-like protein 1;Muscleblind-like protein 1 (Fragment);Muscleblind-like 1 (Drosophila), isoform CRA_a;Muscleblind-like protein 1",A0A0A6YVV8;A0A0A6YWB0;A0A0A6YXE3;A0A0A6YXP3;G3X9Q0;Q9JKP5,A0A0A6YVV8_MOUSE;A0A0A6YWB0_MOUSE;A0A0A6YXE3_MOUSE;A0A0A6YXP3_MOUSE;G3X9Q0_MOUSE;MBNL1_MOUSE,";;;;;nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,cytoplasmic stress granule",";;;;;alternative mRNA splicing, via spliceosome,regulation of alternative mRNA splicing, via spliceosome,in utero embryonic development,mRNA splice site selection,nervous system development,skeletal muscle tissue development,RNA splicing,embryonic limb morphogenesis,regulation of RNA splicing,myoblast differentiation",";;;;;RNA binding,double-stranded RNA binding,metal ion binding",6.525779070798232E-48,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,52.52859115600586,106.72550201416016,32.70926284790039,122.13227844238281,41.39946365356445,66.37046813964844,148.42559814453125,117.1095962524414
Aif1l,Allograft inflammatory factor 1-like,A0A0A6YWH2;Q9EQX4,A0A0A6YWH2_MOUSE;AIF1L_MOUSE,";cytoplasm,focal adhesion,actin cytoskeleton,ruffle membrane,protein complex,extracellular exosome,actin filament",;biological_process,";calcium ion binding,actin filament binding",1.2788719725158794E-49,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,69.48175048828125,98.27958679199219,39.986507415771484,17.229969024658203,72.9376220703125,40.50058364868164,78.9533462524414,46.03013610839844
Ncam1,Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Isoform 2 of Neural cell adhesion molecule 1;Isoform 3 of Neural cell adhesion molecule 1;Isoform 4 of Neural cell adhesion molecule 1,A0A0A6YWU2;A0A0A6YY47;E9Q589;E9QB01;P13595;P13595-2;P13595-3;P13595-4,A0A0A6YWU2_MOUSE;A0A0A6YY47_MOUSE;E9Q589_MOUSE;E9QB01_MOUSE;NCAM1_MOUSE;NCAM1_MOUSE;NCAM1_MOUSE;NCAM1_MOUSE,";;;;cytosol,plasma membrane,cell-cell junction,external side of plasma membrane,cell surface,membrane,integral component of membrane,axon,growth cone,extracellular matrix,anchored component of membrane,neuronal cell body,myelin sheath,extracellular exosome;;;",";;;;regulation of exocyst assembly,cell surface receptor signaling pathway,axon guidance,neuron projection development,homotypic cell-cell adhesion,positive regulation of calcium-mediated signaling;;;",";;;;protein binding,heparin binding,identical protein binding;;;",3.494730388271535E-44,1,2,1,2,1,2,2,2,0,2,1,2,1,2,2,2,NaN,18.038393020629883,8.44786548614502,53.63182067871094,2.7832064628601074,19.655540466308594,16.364694595336914,14.617506980895996
Atp6v1h,V-type proton ATPase subunit H,A0A0A6YX18;Q8BVE3,A0A0A6YX18_MOUSE;VATH_MOUSE,";vacuolar proton-transporting V-type ATPase, V1 domain,lysosomal membrane,extracellular exosome",";endocytosis,vacuolar acidification,ATP hydrolysis coupled proton transport",";proton-transporting ATPase activity, rotational mechanism",1.5054778368184662E-83,15,15,15,15,15,14,15,15,15,15,15,15,15,14,15,15,960.373779296875,575.4551391601562,967.2966918945312,395.1542053222656,1117.92919921875,946.1932983398438,499.6571960449219,510.2958984375
Prkar2a,"cAMP-dependent protein kinase type II-alpha regulatory subunit;Protein kinase, cAMP dependent regulatory, type II alpha",A0A0A6YX73;Q8K1M3,A0A0A6YX73_MOUSE;Q8K1M3_MOUSE,;,;,;,3.305542189187727E-78,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,84.34891510009766,94.21265411376953,87.90087890625,74.16343688964844,78.97763061523438,73.77522277832031,92.06721496582031,94.19305419921875
Lrba,Lipopolysaccharide-responsive and beige-like anchor protein;Lipopolysaccharide-responsive and beige-like anchor protein;Lipopolysaccharide-responsive and beige-like anchor protein;Lipopolysaccharide-responsive and beige-like anchor protein;Isoform 2 of Lipopolysaccharide-responsive and beige-like anchor protein;Isoform 3 of Lipopolysaccharide-responsive and beige-like anchor protein,A0A0A6YXL6;A0A0A6YXX3;E9Q3Y4;Q9ESE1;Q9ESE1-2;Q9ESE1-3,A0A0A6YXL6_MOUSE;A0A0A6YXX3_MOUSE;E9Q3Y4_MOUSE;LRBA_MOUSE;LRBA_MOUSE;LRBA_MOUSE,";;;lysosome,endoplasmic reticulum,trans-Golgi network,plasma membrane,membrane,integral component of membrane,cytoplasmic vesicle;;",";;;signal transduction,protein localization,endosomal transport,cellular response to leukemia inhibitory factor;;",;;;protein kinase A binding;;,1.3147586642853827E-80,9,9,9,7,9,9,9,9,9,9,9,7,9,9,9,9,110.02938079833984,84.48784637451172,105.27234649658203,47.530914306640625,106.5515365600586,104.3848876953125,90.40602111816406,85.11290740966797
Igkv1-110,Protein Igkv1-110 (Fragment),A0A0B4J1I0,A0A0B4J1I0_MOUSE,extracellular space,"immunoglobulin production,immune response",,4.430614482406112E-36,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,961.1790771484375,370.27374267578125,287.5052185058594,2158.49609375,235.29832458496094,121.38180541992188,42.35618591308594,122.194091796875
Prom1,"Prominin-1;Prominin-1;Prominin-1;Prominin 1, isoform CRA_g;Prominin 1, isoform CRA_a;Prominin-1;Isoform 2 of Prominin-1;Isoform 3 of Prominin-1;Isoform 4 of Prominin-1;Isoform 5 of Prominin-1;Isoform 6 of Prominin-1;Prominin-1;Prom1 protein",A0A0G2JDH9;A0A0G2JE50;A0A0R4J0B0;G3X9J8;G5E8G5;O54990;O54990-2;O54990-3;O54990-4;O54990-5;O54990-6;Q8CDK8;Q8R056,A0A0G2JDH9_MOUSE;A0A0G2JE50_MOUSE;A0A0R4J0B0_MOUSE;G3X9J8_MOUSE;G5E8G5_MOUSE;PROM1_MOUSE;PROM1_MOUSE;PROM1_MOUSE;PROM1_MOUSE;PROM1_MOUSE;PROM1_MOUSE;Q8CDK8_MOUSE;Q8R056_MOUSE,";;;;;photoreceptor outer segment,extracellular space,endoplasmic reticulum,endoplasmic reticulum-Golgi intermediate compartment,plasma membrane,integral component of plasma membrane,microvillus,brush border,cilium,cell surface,apical plasma membrane,microvillus membrane,vesicle,stereocilium,photoreceptor outer segment membrane,cell projection,extracellular exosome,prominosome;;;;;;;",";;;;;retina layer formation,photoreceptor cell maintenance,retina morphogenesis in camera-type eye,camera-type eye photoreceptor cell differentiation,glomerular visceral epithelial cell differentiation,glomerular parietal epithelial cell differentiation,positive regulation of nephron tubule epithelial cell differentiation;;;;;;;",";;;;;actinin binding,cadherin binding;;;;;;;",1.9196929502784485E-68,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,19.30620574951172,27.358911514282227,25.076480865478516,28.088138580322266,13.901849746704102,18.792078018188477,29.750776290893555,23.01316261291504
Ubap2l,"Ubiquitin associated protein 2-like, isoform CRA_g;Ubiquitin associated protein 2-like, isoform CRA_b;Ubiquitin-associated protein 2-like;Isoform 2 of Ubiquitin-associated protein 2-like;Isoform 3 of Ubiquitin-associated protein 2-like;Isoform 4 of Ubiquitin-associated protein 2-like;Isoform 5 of Ubiquitin-associated protein 2-like",A0A0G2JDV6;A0A0H2UH17;Q80X50;Q80X50-2;Q80X50-3;Q80X50-4;Q80X50-5,A0A0G2JDV6_MOUSE;A0A0H2UH17_MOUSE;UBP2L_MOUSE;UBP2L_MOUSE;UBP2L_MOUSE;UBP2L_MOUSE;UBP2L_MOUSE,";;nucleus,Ada2/Gcn5/Ada3 transcription activator complex,cytoplasm,PcG protein complex;;;;",";;binding of sperm to zona pellucida,positive regulation of gene expression,hematopoietic stem cell homeostasis;;;;",";;molecular_function,RNA binding;;;;",3.22264705904522E-57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14.444916725158691,28.964073181152344,12.62596607208252,22.375329971313477,22.659690856933594,15.681692123413086,35.512779235839844,34.879085540771484
Cnn3,Calponin;Calponin-3,A0A0G2JDV8;Q9DAW9,A0A0G2JDV8_MOUSE;CNN3_MOUSE,";cytosol,cell-cell adherens junction,focal adhesion,postsynaptic density,actin cytoskeleton,neuronal cell body,dendritic spine",";epithelial cell differentiation,actomyosin structure organization,negative regulation of ATPase activity,cell-cell adhesion",";actin binding,protein binding,calmodulin binding,microtubule binding,cadherin binding involved in cell-cell adhesion",5.1852901676935396E-71,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,199.66549682617188,645.0006103515625,198.79835510253906,261.4333801269531,251.27590942382812,152.80569458007812,607.4981689453125,370.04541015625
Rps27,40S ribosomal protein S27 (Fragment);40S ribosomal protein S27,A0A0G2JDW7;Q6ZWU9,A0A0G2JDW7_MOUSE;RS27_MOUSE,;cytosolic small ribosomal subunit,";ribosomal small subunit assembly,rRNA processing,translation",";structural constituent of ribosome,protein binding,metal ion binding",7.861699821452103E-61,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,343.1077575683594,417.7905578613281,306.9839782714844,458.3717346191406,325.9295349121094,401.815185546875,478.8044128417969,503.2576904296875
Pcolce,Procollagen C-endopeptidase enhancer 1 (Fragment);Procollagen C-endopeptidase enhancer 1;Procollagen C-endopeptidase enhancer 1 (Fragment);Procollagen C-endopeptidase enhancer 1 (Fragment);Procollagen C-endopeptidase enhancer 1,A0A0G2JE29;D3YUE2;D3YWH0;D3YZE3;Q61398,A0A0G2JE29_MOUSE;D3YUE2_MOUSE;D3YWH0_MOUSE;D3YZE3_MOUSE;PCOC1_MOUSE,";;;;extracellular space,extracellular exosome,extracellular matrix",";;;;proteolysis,positive regulation of peptidase activity,cellular response to leukemia inhibitory factor",";;;;collagen binding,heparin binding,peptidase activator activity",1.394244002497319E-26,Filtered,1,Filtered,1,Filtered,1,1,2,Filtered,1,Filtered,1,Filtered,1,1,2,Filtered,6.0704874992370605,Filtered,93.93858337402344,Filtered,2.4579343795776367,13.48306941986084,7.3782639503479
Ube2d3;Ube2d3;Ube2d3;Ube2d2,Ubiquitin-conjugating enzyme E2 D3 (Fragment);Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,A0A0G2JE32;A0A0G2JGL0;P61079;P62838,A0A0G2JE32_MOUSE;A0A0G2JGL0_MOUSE;UB2D3_MOUSE;UB2D2_MOUSE,";;plasma membrane,endosome membrane,extracellular exosome;ubiquitin ligase complex,protein complex,extracellular exosome",";;protein polyubiquitination,DNA repair,protein monoubiquitination,apoptotic process,protein ubiquitination,proteasome-mediated ubiquitin-dependent protein catabolic process,protein autoubiquitination,protein K48-linked ubiquitination,protein K11-linked ubiquitination,positive regulation of protein targeting to mitochondrion;protein polyubiquitination,protein ubiquitination,protein autoubiquitination,protein K48-linked ubiquitination",";;ubiquitin-protein transferase activity,protein binding,ATP binding,ubiquitin conjugating enzyme activity;ubiquitin-protein transferase activity,protein binding,ATP binding,ubiquitin conjugating enzyme activity",1.4616352066690968E-63,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,236.92782592773438,333.631591796875,174.9770050048828,296.9573974609375,168.6614990234375,208.5574951171875,298.347412109375,287.49554443359375
Sh3glb1,Endophilin-B1;Endophilin-B1;Isoform 2 of Endophilin-B1;Isoform 3 of Endophilin-B1,A0A0G2JEC4;Q9JK48;Q9JK48-2;Q9JK48-3,A0A0G2JEC4_MOUSE;SHLB1_MOUSE;SHLB1_MOUSE;SHLB1_MOUSE,";Golgi membrane,autophagosome membrane,cytoplasm,mitochondrial envelope,mitochondrial outer membrane,endoplasmic reticulum,cytosol,membrane,midbody,cytoplasmic vesicle,protein complex,extracellular exosome;;",";phosphatidic acid biosynthetic process,apoptotic process,phospholipid biosynthetic process,positive regulation of autophagy,regulation of protein stability,positive regulation of protein oligomerization,regulation of cytokinesis,receptor catabolic process,cellular response to amino acid starvation,cellular response to glucose starvation,positive regulation of phosphatidylinositol 3-kinase activity,autophagic cell death,'de novo' posttranslational protein folding,protein oligomerization,membrane fission,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,positive regulation of membrane tubulation,protein localization to vacuolar membrane,positive regulation of protein targeting to mitochondrion,positive regulation of autophagosome assembly;;",";fatty acid binding,protein binding,lysophosphatidic acid acyltransferase activity,identical protein binding,protein homodimerization activity,cadherin binding;;",1.6428071380794831E-18,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2,8.786449432373047,33.72160339355469,10.543061256408691,38.41909408569336,12.856054306030273,13.012073516845703,53.37994384765625,21.19872283935547
Crip1,Cysteine-rich protein 1,A0A0G2JEK2;P63254,A0A0G2JEK2_MOUSE;CRIP1_MOUSE,;cytoplasm,";intrinsic apoptotic signaling pathway in response to DNA damage,response to zinc ion,cellular response to antibiotic,cellular response to UV-B",";AT DNA binding,zinc ion binding,DNA binding, bending,peptide binding",5.2346971933799284E-37,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,143.89077758789062,188.907958984375,60.18268966674805,333.360595703125,76.70380401611328,152.6403350830078,280.6153564453125,168.218017578125
Fxr1,Fragile X mental retardation syndrome-related protein 1;Fragile X mental retardation syndrome-related protein 1;Isoform A of Fragile X mental retardation syndrome-related protein 1;Isoform B of Fragile X mental retardation syndrome-related protein 1;Isoform C of Fragile X mental retardation syndrome-related protein 1;Isoform D of Fragile X mental retardation syndrome-related protein 1;Isoform F of Fragile X mental retardation syndrome-related protein 1;Isoform G of Fragile X mental retardation syndrome-related protein 1,A0A0G2JEP0;Q61584;Q61584-2;Q61584-3;Q61584-4;Q61584-5;Q61584-6;Q61584-7,A0A0G2JEP0_MOUSE;FXR1_MOUSE;FXR1_MOUSE;FXR1_MOUSE;FXR1_MOUSE;FXR1_MOUSE;FXR1_MOUSE;FXR1_MOUSE,";nucleus,cytoplasm,cytosol,polysome,membrane,axon,dendrite,ribonucleoprotein granule,costamere,dendritic spine,perinuclear region of cytoplasm;;;;;;",";muscle organ development,negative regulation of translation,cell differentiation,positive regulation of gene silencing by miRNA;;;;;;",";G-quadruplex RNA binding,RNA binding,mRNA 3'-UTR binding,protein binding,RNA strand annealing activity,protein homodimerization activity,protein heterodimerization activity;;;;;;",3.1319697312110385E-72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,63.2902717590332,146.15249633789062,60.283348083496094,128.5681915283203,78.33438110351562,72.70755004882812,152.02464294433594,132.45570373535156
Eif4e,Eukaryotic translation initiation factor 4E,A0A0G2JFB4;A0A0G2JH04;P63073,A0A0G2JFB4_MOUSE;A0A0G2JH04_MOUSE;IF4E_MOUSE,";;cytoplasmic mRNA processing body,cytoplasm,cytosol,mRNA cap binding complex,cytoplasmic stress granule,eukaryotic translation initiation factor 4F complex,RISC complex,chromatoid body,cytoplasmic ribonucleoprotein granule,perinuclear region of cytoplasm,extracellular exosome",";;G1/S transition of mitotic cell cycle,behavioral fear response,translational initiation,regulation of translation,negative regulation of translation,stem cell population maintenance,lung development,negative regulation of neuron differentiation,positive regulation of mitotic cell cycle,cellular response to dexamethasone stimulus",";;RNA 7-methylguanosine cap binding,RNA binding,translation initiation factor activity,protein binding,enzyme binding,eukaryotic initiation factor 4G binding,repressing transcription factor binding",2.3983704234638515E-48,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,80.2195053100586,96.35369873046875,59.64569854736328,80.81744384765625,64.72745513916016,79.7711181640625,94.01831817626953,96.42251586914062
Rufy3,Protein RUFY3;Protein RUFY3;Isoform 2 of Protein RUFY3;Isoform 3 of Protein RUFY3;Isoform 4 of Protein RUFY3,A0A0G2JFT8;Q9D394;Q9D394-2;Q9D394-3;Q9D394-4,A0A0G2JFT8_MOUSE;RUFY3_MOUSE;RUFY3_MOUSE;RUFY3_MOUSE;RUFY3_MOUSE,";cytoplasm,cytosol,endomembrane system,membrane,lamellipodium,cell junction,filopodium,axon,dendrite,growth cone,neuronal cell body,perikaryon,invadopodium;;;",";actin filament organization,positive regulation of cell migration,positive regulation of axon extension,regulation of axonogenesis,negative regulation of axonogenesis,positive regulation of axonogenesis,positive regulation of intracellular protein transport,regulation of establishment of cell polarity;;;",;protein binding;;;,6.031799416352754E-64,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,63.828155517578125,65.21453094482422,81.3877182006836,47.59571075439453,65.66130828857422,67.35287475585938,38.796138763427734,35.94645690917969
Fubp1,Far upstream element-binding protein 1;Far upstream element-binding protein 1;Far upstream element-binding protein 1;Far upstream element-binding protein 1;Far upstream element-binding protein 1;Far upstream element-binding protein 1;Isoform 2 of Far upstream element-binding protein 1,A0A0G2JFY5;A0A0G2JG00;A0A0G2JGW9;Q3TUE1;Q3UUU2;Q91WJ8;Q91WJ8-2,A0A0G2JFY5_MOUSE;A0A0G2JG00_MOUSE;A0A0G2JGW9_MOUSE;Q3TUE1_MOUSE;Q3UUU2_MOUSE;FUBP1_MOUSE;FUBP1_MOUSE,;;;;;nucleus;,";;;;;regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,positive regulation of gene expression,cell growth,stem cell division,positive regulation of transcription from RNA polymerase II promoter,hematopoietic stem cell proliferation;",";;;;;transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding,DNA binding,RNA binding,protein binding;",7.354404772505972E-66,6,7,6,7,7,6,7,7,6,7,6,7,7,6,7,7,47.78789138793945,92.33201599121094,49.034339904785156,93.7905044555664,51.08418273925781,37.4957389831543,130.05970764160156,90.11861419677734
S100a4,Protein S100-A4 (Fragment);Protein S100-A4,A0A0G2JGD2;P07091,A0A0G2JGD2_MOUSE;S10A4_MOUSE,";extracellular space,nucleus,neuron projection,perinuclear region of cytoplasm,extracellular exosome",;positive regulation of I-kappaB kinase/NF-kappaB signaling,";RNA binding,actin binding,calcium ion binding,protein binding,identical protein binding,transition metal ion binding,calcium-dependent protein binding,RAGE receptor binding",2.7821759426672434E-33,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,186.86541748046875,99.93047332763672,30.556537628173828,627.061279296875,37.541690826416016,402.60723876953125,560.3546752929688,218.0035858154297
