Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Mapkapk2,MAP kinase-activated protein kinase 2 (Fragment);MAP kinase-activated protein kinase 2,A0A087WSN7;P49138,";nucleus,nucleoplasm,cytoplasm,centrosome,extracellular exosome",";toll-like receptor signaling pathway,protein phosphorylation,inflammatory response,cellular response to DNA damage stimulus,peptidyl-serine phosphorylation,G2 DNA damage checkpoint,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,mRNA stabilization,inner ear development,3'-UTR-mediated mRNA stabilization",";protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding",2.36E-32,2,5,5,3,4,4,5,5,2,5,5,3,4,4,5,5,7.873295307,10.4197998,7.828305721,13.13515282,10.95124912,1.591885567,8.806027412,6.914023399
Stat1,Signal transducer and activator of transcription;Signal transducer and activator of transcription 1;Signal transducer and activator of transcription,A0A087WSP5;P42225;Q8C3V4,";nuclear chromatin,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,axon,dendrite,protein complex,perinuclear region of cytoplasm;",";negative regulation of transcription from RNA polymerase II promoter,negative regulation of endothelial cell proliferation,positive regulation of mesenchymal cell proliferation,positive regulation of defense response to virus by host,negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,transcription, DNA-templated,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,JAK-STAT cascade,blood circulation,response to bacterium,macrophage derived foam cell differentiation,negative regulation of angiogenesis,cytokine-mediated signaling pathway,lipopolysaccharide-mediated signaling pathway,response to lipopolysaccharide,positive regulation of interferon-alpha production,tumor necrosis factor-mediated signaling pathway,response to cytokine,negative regulation of macrophage fusion,response to type I interferon,response to interferon-beta,cellular response to interferon-beta,negative regulation of I-kappaB kinase/NF-kappaB signaling,response to exogenous dsRNA,response to peptide hormone,positive regulation of erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,negative regulation by virus of viral protein levels in host cell,positive regulation of smooth muscle cell proliferation,response to cAMP,defense response to virus,interferon-gamma-mediated signaling pathway,type I interferon signaling pathway,JAK-STAT cascade involved in growth hormone signaling pathway,renal tubule development,cellular response to lipopolysaccharide,cellular response to cytokine stimulus,cellular response to interferon-gamma,cellular response to organic cyclic compound,metanephric mesenchymal cell proliferation involved in metanephros development,metanephric mesenchymal cell differentiation,negative regulation of metanephric nephron tubule epithelial cell differentiation;",";RNA polymerase II core promoter proximal region sequence-specific DNA binding,RNA polymerase II core promoter sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter binding,double-stranded DNA binding,transcription factor activity, sequence-specific DNA binding,signal transducer activity,tumor necrosis factor receptor binding,protein binding,enzyme binding,histone acetyltransferase binding,nuclear hormone receptor binding,histone binding,identical protein binding,protein homodimerization activity,ubiquitin-like protein ligase binding,cadherin binding,repressing transcription factor binding,promoter-specific chromatin binding;",2.66E-15,3,8,5,8,4,4,11,11,3,8,5,8,4,4,11,11,26.87841797,10.59531212,7.407242298,18.02159309,15.95091915,9.742121696,11.61250877,17.02429962
Gcdh,"Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial",A0A0A0MQ68;Q60759,";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",2.96E-35,24,21,24,19,23,20,20,20,24,21,24,19,23,20,20,20,1389.348511,610.6204834,1442.448975,384.6558533,1446.937378,1234.508911,366.5658569,527.0368652
Prrc2c,Protein PRRC2C;Protein PRRC2C;Isoform 5 of Protein PRRC2C;Protein PRRC2C;Protein PRRC2C,A0A0A0MQ79;Q3TLH4;Q3TLH4-5;S4R294;S4R2J9,;membrane;;;,;hematopoietic progenitor cell differentiation;;;,";RNA binding,protein C-terminus binding;;;",6.59E-08,3,6,5,4,2,3,6,6,3,6,5,4,2,3,6,6,2.923221111,8.877836227,6.924047947,4.905864239,5.795913696,3.298961401,6.221522808,5.801504135
Havcr1,Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog,A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2,";;cell surface,integral component of membrane;",;;positive regulation of mast cell activation;,";;phosphatidylserine binding,protein binding;",2.50E-44,1,10,Filtered,7,1,2,10,10,0,10,Filtered,7,1,2,10,10,NaN,602.6532593,Filtered,111.0974197,3.200404406,3.129781723,646.7295532,414.1939392
S100a13,Protein S100-A13,A0A0A0MQ90;P97352,";extracellular space,nucleus,nucleolus,cytoplasm,cytosol,plasma membrane,perinuclear region of cytoplasm,extracellular exosome",";positive regulation of I-kappaB kinase/NF-kappaB signaling,cytokine secretion,interleukin-1 alpha secretion",";copper ion binding,calcium ion binding,zinc ion binding,lipid binding,fibroblast growth factor binding,protein homodimerization activity,RAGE receptor binding",4.40E-10,2,3,2,3,2,2,2,3,2,3,2,3,2,2,2,3,41.91280746,54.63248444,22.76609039,88.91494751,41.61828232,46.00108337,92.13064575,91.82618713
Nccrp1,F-box only protein 50,A0A0A0MQ97;G3X9C2,";cytoplasm,extracellular exosome",;positive regulation of cell proliferation,;molecular_function,1.36E-44,9,4,9,6,9,7,5,4,9,4,9,6,9,7,5,4,292.3960266,15.21393776,205.2485809,69.94595337,243.2606506,134.1745911,23.10314178,12.19656849
Serpina1a;Serpina1c;Serpina1a;Serpina1c,Alpha-1-antitrypsin 1-1;Alpha-1-antitrypsin 1-3;Alpha-1-antitrypsin 1-1;Alpha-1-antitrypsin 1-3,A0A0A0MQA3;A0A0R4J0X5;P07758;Q00896,";;extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome;extracellular region,extracellular space,endoplasmic reticulum,Golgi apparatus,intracellular membrane-bounded organelle,extracellular exosome",";;protein N-linked glycosylation,acute-phase response,negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone;negative regulation of endopeptidase activity,response to cytokine,response to peptide hormone",";;protease binding,serine-type endopeptidase inhibitor activity,protein binding,identical protein binding;protease binding,serine-type endopeptidase inhibitor activity,identical protein binding",1.07E-46,11,10,9,12,10,12,11,12,11,10,9,12,10,12,11,12,804.2016602,574.2697754,786.4060059,5912.137695,861.9491577,608.0737915,946.8778076,599.0032349
Tuba4a,Tubulin alpha chain (Fragment);Tubulin alpha-4A chain,A0A0A0MQA5;P68368,";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";cytoskeleton organization,microtubule-based process",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",2.74E-64,46,48,47,47,47,46,47,48,46,48,47,47,47,46,47,48,2988.932373,4315.273926,3040.18457,3918.743164,3187.42041,2626.275391,3886.392578,3115.330322
Mapt,Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau,A0A0A0MQC7;A2A5Y6;P10637,";;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane",";;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus",";;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding",1.30E-32,9,7,7,Filtered,8,9,9,8,9,7,7,Filtered,8,9,9,8,146.7485046,64.37348175,207.8139648,Filtered,138.294281,111.1920853,54.81276321,76.20810699
Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,A0A0A0MQF6;P16858,";nucleus,cytoplasm,mitochondrion,lipid particle,cytosol,plasma membrane,microtubule cytoskeleton,membrane,intracellular ribonucleoprotein complex,extracellular matrix,nuclear membrane,vesicle,myelin sheath,intracellular membrane-bounded organelle,extracellular exosome,GAIT complex",";microtubule cytoskeleton organization,glucose metabolic process,glycolytic process,multicellular organism development,negative regulation of endopeptidase activity,negative regulation of translation,killing of cells of other organism,peptidyl-cysteine S-trans-nitrosylation,positive regulation of cytokine secretion,protein stabilization,defense response to fungus,neuron apoptotic process,killing by host of symbiont cells,positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction,oxidation-reduction process,Requires Ontology,cellular response to interferon-gamma",";glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,protein binding,microtubule binding,aspartic-type endopeptidase inhibitor activity,enzyme binding,peptidyl-cysteine S-nitrosylase activity,identical protein binding,NADP binding,NAD binding,disordered domain specific binding",1.42E-45,51,50,51,49,52,51,51,53,51,50,51,49,52,51,51,53,8502.226563,11084.14648,8886.397461,7560.234863,8849.592773,8049.45166,7941.888672,7589.871582
Phyhd1,Phytanoyl-CoA dioxygenase domain-containing protein 1 (Fragment);Phytanoyl-CoA dioxygenase domain-containing protein 1 (Fragment);Phytanoyl-CoA dioxygenase domain-containing protein 1;Phytanoyl-CoA dioxygenase domain-containing protein 1;Phytanoyl-CoA dioxygenase domain-containing protein 1;Phytanoyl-CoA dioxygenase domain-containing protein 1,A0A0A0MQG9;A2AQZ5;A2AQZ7;D6RI61;D6RIQ3;Q9DB26,;;;;;cellular_component,";;;;;biological_process,oxidation-reduction process",";;;;;molecular_function,metal ion binding,dioxygenase activity",5.21E-25,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,35.24518204,25.45164299,45.06105042,14.39642048,42.1598053,32.12976456,22.37875748,15.52999687
Atg7,Ubiquitin-like modifier-activating enzyme ATG7,A0A0A0MQN4;Q9D906;S4R2D5,";pre-autophagosomal structure,cytoplasm,cytosol,axoneme;",";autophagosome assembly,mitophagy,liver development,protein lipidation,C-terminal protein lipidation,autophagy,cellular response to nitrogen starvation,organelle organization,mitochondrion organization,adult walking behavior,cellular response to starvation,post-embryonic development,protein transport,macroautophagy,cellular homeostasis,cerebellar Purkinje cell layer development,pyramidal neuron development,central nervous system neuron axonogenesis,cerebral cortex development,protein catabolic process,neuron projection development,regulation of protein ubiquitination,positive regulation of protein modification process,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,protein modification by small protein conjugation,cellular response to reactive oxygen species,piecemeal microautophagy of nucleus,positive regulation of insulin secretion involved in cellular response to glucose stimulus,suppression by virus of host autophagy,negative stranded viral RNA replication,response to starvation,positive regulation of apoptotic process,negative regulation of apoptotic process,late nucleophagy,positive regulation of protein catabolic process,negative regulation of phagocytosis,neurological system process,defense response to virus,cardiac muscle cell development,regulation of cell development,negative regulation of cell death,membrane organization,positive regulation of mucus secretion,cellular response to hyperoxia,autophagy of host cells involved in interaction with symbiont,amino acid homeostasis,cellular sphingolipid homeostasis,negative regulation of sphingolipid biosynthesis involved in cellular sphingolipid homeostasis,regulation of hemopoiesis,negative regulation of histone H4-K16 acetylation;",";protein binding,transcription factor binding,Atg12 activating enzyme activity,Atg8 activating enzyme activity,protein homodimerization activity;",2.63E-05,1,3,1,2,2,2,2,3,1,3,1,2,2,2,2,3,8.669250488,20.88771248,7.256216526,30.93658066,5.670665741,9.769964218,34.41901779,27.38038635
Surf1,SURF1-like protein (Fragment);Surfeit locus protein 1,A0A0A6YVR9;P09925,";mitochondrion,mitochondrial inner membrane,integral component of membrane",";oxidative phosphorylation,ATP biosynthetic process,mitochondrial respiratory chain complex IV assembly,hydrogen ion transmembrane transport",;cytochrome-c oxidase activity,2.52E-06,3,3,4,3,4,3,4,4,3,3,4,3,4,3,4,4,28.83388329,5.867294788,44.69021225,5.431557178,19.31551743,5.7752738,7.772700787,7.19126606
Cr1l,Complement component receptor 1-like protein (Fragment);Complement component receptor 1-like protein;Complement component receptor 1-like protein;Complement component receptor 1-like protein;Isoform 2 of Complement component receptor 1-like protein,A0A0A6YVT1;A0A0A6YXN9;A0A0A6YY75;Q64735;Q64735-2,";;;external side of plasma membrane,integral component of membrane,receptor complex;",";;;in utero embryonic development,complement activation, classical pathway,female pregnancy,regulation of complement activation,innate immune response,negative regulation of complement activation;",;;;;,1.68E-27,4,3,4,4,4,2,4,4,4,3,4,4,4,2,4,4,22.9998951,25.43848419,29.2938385,44.72729492,25.43782806,19.41680336,21.22612953,15.88990688
Gm9774;Adrm1,MCG119397;Proteasomal ubiquitin receptor ADRM1,A0A0A6YVU8;Q9JKV1,"nucleus,cytoplasm,proteasome regulatory particle, lid subcomplex;proteasome complex,nucleoplasm,cytosol,plasma membrane,proteasome regulatory particle, lid subcomplex","ubiquitin-dependent protein catabolic process,positive regulation of endopeptidase activity;ovarian follicle development,transcription elongation from RNA polymerase II promoter,ubiquitin-dependent protein catabolic process,spermatid development,positive regulation of endopeptidase activity,regulation of T cell differentiation in thymus,follicle-stimulating hormone signaling pathway,proteasome assembly,oogenesis,thymus development,Sertoli cell development,positive regulation of growth hormone receptor signaling pathway,adipose tissue development,seminiferous tubule development","ubiquitin binding,endopeptidase activator activity,proteasome binding;protease binding,protein binding,ubiquitin binding,endopeptidase activator activity,proteasome binding",1.65E-35,3,4,3,4,2,3,4,4,3,4,3,4,2,3,4,4,212.6304779,111.3708649,87.94197845,124.0929718,103.8000793,147.2640381,197.8982239,98.93786621
Map4k4;Map4k4;Map4k4;Map4k4;Tnik;Map4k4;Map4k4;Tnik;Tnik;Tnik;Tnik;Tnik;Tnik;Map4k4;Mink1;Map4k4;Mink1;Tnik;Tnik;Map4k4;Mink1;Mink1;Mink1;Mink1;Mink1,Mitogen-activated protein kinase kinase kinase kinase 4 (Fragment);Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Tnik protein;Map4k4 protein;Map4k4 protein;TRAF2 and NCK interacting kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1 (Fragment);Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;Traf2 and NCK-interacting protein kinase;Isoform 2 of Traf2 and NCK-interacting protein kinase;Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;Misshapen-like kinase 1;Misshapen-like kinase 1;Isoform 1 of Misshapen-like kinase 1;Isoform 3 of Misshapen-like kinase 1,A0A0A6YVZ8;A0A0A6YW53;A0A0A6YWM8;A0A0A6YWR8;B2RQ80;B2RUE8;B7ZNR9;B9EKN8;E0CXD6;E0CY98;E0CZD7;E0CZF8;E9PUL9;E9PVG7;F7AMS7;F8VPL5;G3X9G2;P83510;P83510-2;P97820;Q5SXG1;Q5SXG3;Q9JM52;Q9JM52-2;Q9JM52-3,";;;;;;;;;;;;;;;;;nucleus,nucleoplasm,cytoplasm,cytosol,cytoskeleton,apical plasma membrane,perinuclear region of cytoplasm,recycling endosome,extracellular exosome;;cytoplasm;;;cytoplasm,Golgi apparatus,postsynaptic density,cell junction,axon,dendrite,postsynaptic membrane,extracellular exosome;;",";;;;;;;;;;;;;;;;;activation of MAPKKK activity,positive regulation of protein phosphorylation,protein phosphorylation,cytoskeleton organization,activation of JNKK activity,regulation of mitotic cell cycle,Wnt signaling pathway,microvillus assembly,stress-activated protein kinase signaling cascade,actin cytoskeleton reorganization,intracellular signal transduction,regulation of apoptotic process,protein autophosphorylation,neuron projection morphogenesis,regulation of dendrite morphogenesis,protein localization to plasma membrane;;MAPK cascade,activation of MAPKKK activity,protein phosphorylation,response to stress,regulation of mitotic cell cycle,stress-activated protein kinase signaling cascade,intracellular signal transduction,regulation of apoptotic process,negative regulation of apoptotic process,regulation of JNK cascade,neuron projection morphogenesis;;;MAPK cascade,activation of MAPKKK activity,regulation of cell-matrix adhesion,protein phosphorylation,response to stress,chemical synaptic transmission,multicellular organism development,regulation of mitotic cell cycle,regulation of cell-cell adhesion,regulation of cell migration,stress-activated protein kinase signaling cascade,actin cytoskeleton reorganization,intracellular signal transduction,regulation of apoptotic process,negative thymic T cell selection,positive regulation of JNK cascade,protein autophosphorylation,neuron projection morphogenesis,dendrite morphogenesis,regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity;;",";;;;;;;;;;;;;;;;;protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity;;creatine kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity;;;protein serine/threonine kinase activity,ATP binding,MAP kinase kinase kinase kinase activity;;",1.06E-07,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,32.16023636,56.65726089,33.82284164,86.40350342,27.92469406,44.73774338,76.10019684,64.77153778
