"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"33","gcdh","Glutaryl-CoA dehydrogenase, mitochondrial;Glutaryl-CoA dehydrogenase, mitochondrial","A0A0A0MQ68;Q60759","A0A0A0MQ68_MOUSE;GCDH_MOUSE",";mitochondrion,mitochondrial inner membrane,mitochondrial matrix",";tryptophan metabolic process,fatty acid beta-oxidation using acyl-CoA dehydrogenase",";glutaryl-CoA dehydrogenase activity,flavin adenine dinucleotide binding",1.38e-39,"18","17","18","19","15","14","14","19","18","17","18","19","15","14","14","19","452.3142395","263.8736572","498.3705139","199.6400909","448.3934937","152.559845","182.8970642","593.1185303"
"34","slc25a35","Solute carrier family 25 member 35","A0A0A0MQ70;Q5SWT3","A0A0A0MQ70_MOUSE;S2535_MOUSE",";mitochondrion,mitochondrial inner membrane,integral component of membrane",";mitochondrial transport,transmembrane transport",";transmembrane transporter activity",5.97e-34,"2","1","2","Filtered","1","2","Filtered","2","2","0","2","Filtered","1","2","Filtered","2","8.684980392","NaN","7.705081463","Filtered","2.514724493","3.149753094","Filtered","8.154767036"
"35","prrc2c","Protein PRRC2C;Protein PRRC2C;Isoform 5 of Protein PRRC2C;Protein PRRC2C;Protein PRRC2C","A0A0A0MQ79;Q3TLH4;Q3TLH4-5;S4R294;S4R2J9","A0A0A0MQ79_MOUSE;PRC2C_MOUSE;PRC2C_MOUSE;S4R294_MOUSE;S4R2J9_MOUSE",";membrane;;;",";hematopoietic progenitor cell differentiation;;;",";RNA binding,protein C-terminus binding;;;",0.009290165,"Filtered","2","1","1","Filtered","1","1","Filtered","Filtered","2","1","1","Filtered","1","0","Filtered","Filtered","5.412442684","8.226661682","20.95829964","Filtered","18.12005424","NaN","Filtered"
"36","havcr1","Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Hepatitis A virus cellular receptor 1 homolog;Isoform 2 of Hepatitis A virus cellular receptor 1 homolog","A0A0A0MQ86;Q3V033;Q5QNS5;Q5QNS5-2","A0A0A0MQ86_MOUSE;Q3V033_MOUSE;HAVR1_MOUSE;HAVR1_MOUSE",";;cell surface,integral component of membrane;",";;positive regulation of mast cell activation;",";;phosphatidylserine binding,protein binding;",3.65e-45,"Filtered","10","Filtered","7","2","10","6","Filtered","Filtered","10","Filtered","7","2","10","6","Filtered","Filtered","226.4568329","Filtered","204.9440918","10.72836304","208.1556549","26.58558846","Filtered"
"37","s100a13","Protein S100-A13","A0A0A0MQ90;P97352","A0A0A0MQ90_MOUSE;S10AD_MOUSE",";extracellular space,nucleus,nucleolus,cytoplasm,cytosol,plasma membrane,perinuclear region of cytoplasm,extracellular exosome",";positive regulation of I-kappaB kinase/NF-kappaB signaling,cytokine secretion,interleukin-1 alpha secretion",";copper ion binding,calcium ion binding,zinc ion binding,lipid binding,fibroblast growth factor binding,protein homodimerization activity,RAGE receptor binding",5.62e-05,"2","3","2","2","2","3","2","2","2","3","2","2","2","3","2","2","28.28481674","44.09998703","14.98337269","50.81999588","21.62607193","55.22299957","41.29848099","13.18883514"
"38","nccrp1","F-box only protein 50","A0A0A0MQ97;G3X9C2","A0A0A0MQ97_MOUSE;FBX50_MOUSE",";cytoplasm,extracellular exosome",";positive regulation of cell proliferation",";molecular_function",2.67e-46,"9","2","7","2","4","3","3","9","9","2","7","2","4","3","3","9","126.0236435","16.76599503","85.41266632","8.579182625","56.30056","5.297628403","37.21158218","81.94723511"
"39","tuba4a","Tubulin alpha chain (Fragment);Tubulin alpha-4A chain","A0A0A0MQA5;P68368","A0A0A0MQA5_MOUSE;TBA4A_MOUSE",";cytoplasm,microtubule,microtubule cytoskeleton,extracellular exosome",";cytoskeleton organization,microtubule-based process",";GTPase activity,structural constituent of cytoskeleton,GTP binding,enzyme binding",2.21e-57,"40","45","42","43","40","46","43","43","40","45","42","43","40","46","43","43","1596.637695","2193.669922","1559.763428","1703.670044","1366.582886","2226.674561","2119.893311","1716.467163"
"40","mapt","Microtubule-associated protein;Microtubule-associated protein;Microtubule-associated protein tau","A0A0A0MQC7;A2A5Y6;P10637","A0A0A0MQC7_MOUSE;A2A5Y6_MOUSE;TAU_MOUSE",";;nucleus,cytoplasm,cytosol,microtubule,microtubule associated complex,plasma membrane,axoneme,postsynaptic density,microtubule cytoskeleton,nuclear speck,axon,dendrite,growth cone,axolemma,nuclear periphery,cytoplasmic ribonucleoprotein granule,somatodendritic compartment,neuronal cell body,cell body,tubulin complex,neurofibrillary tangle,membrane",";;microtubule cytoskeleton organization,neuron migration,axonogenesis,memory,adult walking behavior,axo-dendritic transport,regulation of receptor activity,regulation of autophagy,negative regulation of gene expression,negative regulation of mitochondrial membrane potential,regulation of microtubule polymerization or depolymerization,positive regulation of microtubule polymerization,negative regulation of intracellular transport,positive regulation of superoxide anion generation,negative regulation of kinase activity,positive regulation of axon extension,mitochondrion transport along microtubule,intracellular distribution of mitochondria,axon extension,synapse organization,regulation of calcium-mediated signaling,regulation of microtubule-based movement,regulation of microtubule cytoskeleton organization,negative regulation of mitochondrial fission,fibril organization,regulation of cellular response to heat,positive regulation of neuron death,positive regulation of protein localization to synapse,negative regulation of establishment of protein localization to mitochondrion,positive regulation of cellular protein localization,amyloid fibril formation,regulation of response to DNA damage stimulus",";;DNA binding,protein binding,microtubule binding,SH3 domain binding,enzyme binding,protein kinase binding,apolipoprotein binding,identical protein binding,protein homodimerization activity,receptor agonist activity,lipoprotein particle binding,microtubule lateral binding",4.04e-45,"6","4","7","4","4","5","Filtered","5","6","4","7","4","4","5","Filtered","5","49.38606644","91.40895081","53.81301498","37.99019623","48.0603714","36.31443787","Filtered","51.53130341"
"41","gapdh","Glyceraldehyde-3-phosphate dehydrogenase","A0A0A0MQF6;P16858","A0A0A0MQF6_MOUSE;G3P_MOUSE",";nucleus,cytoplasm,mitochondrion,lipid particle,cytosol,plasma membrane,microtubule cytoskeleton,membrane,intracellular ribonucleoprotein complex,extracellular matrix,nuclear membrane,vesicle,myelin sheath,intracellular membrane-bounded organelle,extracellular exosome,GAIT complex",";microtubule cytoskeleton organization,glucose metabolic process,glycolytic process,multicellular organism development,negative regulation of endopeptidase activity,negative regulation of translation,killing of cells of other organism,peptidyl-cysteine S-trans-nitrosylation,positive regulation of cytokine secretion,protein stabilization,defense response to fungus,neuron apoptotic process,killing by host of symbiont cells,positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction,oxidation-reduction process,Requires Ontology,cellular response to interferon-gamma",";glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,protein binding,microtubule binding,aspartic-type endopeptidase inhibitor activity,enzyme binding,peptidyl-cysteine S-nitrosylase activity,identical protein binding,NADP binding,NAD binding,disordered domain specific binding",4.83e-39,"43","46","41","45","47","45","38","43","43","46","41","45","47","45","38","43","4366.988281","5065.657227","4335.00293","4071.989258","4040.159424","3837.187256","4061.484131","4743.309082"
"42","atg7","Ubiquitin-like modifier-activating enzyme ATG7","A0A0A0MQN4;Q9D906;S4R2D5","A0A0A0MQN4_MOUSE;ATG7_MOUSE;S4R2D5_MOUSE",";pre-autophagosomal structure,cytoplasm,cytosol,axoneme;",";autophagosome assembly,mitophagy,liver development,protein lipidation,C-terminal protein lipidation,autophagy,cellular response to nitrogen starvation,organelle organization,mitochondrion organization,adult walking behavior,cellular response to starvation,post-embryonic development,protein transport,macroautophagy,cellular homeostasis,cerebellar Purkinje cell layer development,pyramidal neuron development,central nervous system neuron axonogenesis,cerebral cortex development,protein catabolic process,neuron projection development,regulation of protein ubiquitination,positive regulation of protein modification process,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,protein modification by small protein conjugation,cellular response to reactive oxygen species,piecemeal microautophagy of nucleus,positive regulation of insulin secretion involved in cellular response to glucose stimulus,suppression by virus of host autophagy,negative stranded viral RNA replication,response to starvation,positive regulation of apoptotic process,negative regulation of apoptotic process,late nucleophagy,positive regulation of protein catabolic process,negative regulation of phagocytosis,neurological system process,defense response to virus,cardiac muscle cell development,regulation of cell development,negative regulation of cell death,membrane organization,positive regulation of mucus secretion,cellular response to hyperoxia,autophagy of host cells involved in interaction with symbiont,amino acid homeostasis,cellular sphingolipid homeostasis,negative regulation of sphingolipid biosynthesis involved in cellular sphingolipid homeostasis,regulation of hemopoiesis,negative regulation of histone H4-K16 acetylation;",";protein binding,transcription factor binding,Atg12 activating enzyme activity,Atg8 activating enzyme activity,protein homodimerization activity;",0.000432528,"Filtered","1","1","1","Filtered","2","1","Filtered","Filtered","1","1","1","Filtered","2","1","Filtered","Filtered","2.238596439","4.906621456","6.515542507","Filtered","14.35280895","13.53595734","Filtered"
"43","surf1","SURF1-like protein (Fragment);Surfeit locus protein 1","A0A0A6YVR9;P09925","A0A0A6YVR9_MOUSE;SURF1_MOUSE",";mitochondrion,mitochondrial inner membrane,integral component of membrane",";oxidative phosphorylation,ATP biosynthetic process,mitochondrial respiratory chain complex IV assembly,hydrogen ion transmembrane transport",";cytochrome-c oxidase activity",0.001956146,"Filtered","Filtered","Filtered","2","1","1","Filtered","Filtered","Filtered","Filtered","Filtered","2","1","1","Filtered","Filtered","Filtered","Filtered","Filtered","5.033814907","6.128434181","8.14041996","Filtered","Filtered"
"44","cr1l","Complement component receptor 1-like protein (Fragment);Complement component receptor 1-like protein;Complement component receptor 1-like protein;Complement component receptor 1-like protein;Isoform 2 of Complement component receptor 1-like protein","A0A0A6YVT1;A0A0A6YXN9;A0A0A6YY75;Q64735;Q64735-2","A0A0A6YVT1_MOUSE;A0A0A6YXN9_MOUSE;A0A0A6YY75_MOUSE;CR1L_MOUSE;CR1L_MOUSE",";;;external side of plasma membrane,integral component of membrane,receptor complex;",";;;in utero embryonic development,complement activation, classical pathway,female pregnancy,regulation of complement activation,innate immune response,negative regulation of complement activation;",";;;;",3.79e-06,"1","2","3","2","1","1","2","2","1","2","3","2","1","1","2","2","39.79601669","22.35708046","16.96347046","15.26558685","7.334817886","18.3247776","15.4004364","19.54353333"
"45","il1rn","Interleukin-1 receptor antagonist protein;Isoform 2 of Interleukin-1 receptor antagonist protein","A0A0A6YVU4;P25085-2","A0A0A6YVU4_MOUSE;IL1RA_MOUSE",";",";",";",0.00304424,"Filtered","1","Filtered","Filtered","Filtered","3","Filtered","Filtered","Filtered","0","Filtered","Filtered","Filtered","3","Filtered","Filtered","Filtered","NaN","Filtered","Filtered","Filtered","1","Filtered","Filtered"
"46","gm9774;adrm1","MCG119397;Proteasomal ubiquitin receptor ADRM1","A0A0A6YVU8;Q9JKV1","A0A0A6YVU8_MOUSE;ADRM1_MOUSE","nucleus,cytoplasm,proteasome regulatory particle, lid subcomplex;proteasome complex,nucleoplasm,cytosol,plasma membrane,proteasome regulatory particle, lid subcomplex","ubiquitin-dependent protein catabolic process,positive regulation of endopeptidase activity;ovarian follicle development,transcription elongation from RNA polymerase II promoter,ubiquitin-dependent protein catabolic process,spermatid development,positive regulation of endopeptidase activity,regulation of T cell differentiation in thymus,follicle-stimulating hormone signaling pathway,proteasome assembly,oogenesis,thymus development,Sertoli cell development,positive regulation of growth hormone receptor signaling pathway,adipose tissue development,seminiferous tubule development","ubiquitin binding,endopeptidase activator activity,proteasome binding;protease binding,protein binding,ubiquitin binding,endopeptidase activator activity,proteasome binding",5.49e-23,"3","2","2","3","2","3","3","3","3","2","2","3","2","3","3","3","51.58893967","127.9162369","61.09644318","82.62142181","64.94796753","55.54128647","93.29653168","57.2943573"
"47","enah","Protein enabled homolog;Protein enabled homolog;Protein enabled homolog;Protein enabled homolog;Protein enabled homolog;Protein enabled homolog;Isoform 2 of Protein enabled homolog;Isoform 3 of Protein enabled homolog;Isoform 4 of Protein enabled homolog;Isoform 6 of Protein enabled homolog","A0A0A6YW06;E9QKQ9;E9QKR1;E9QLZ9;J3QNM3;Q03173;Q03173-3;Q03173-4;Q03173-5;Q03173-6","A0A0A6YW06_MOUSE;E9QKQ9_MOUSE;E9QKR1_MOUSE;E9QLZ9_MOUSE;J3QNM3_MOUSE;ENAH_MOUSE;ENAH_MOUSE;ENAH_MOUSE;ENAH_MOUSE;ENAH_MOUSE",";;;;;stress fiber,cytosol,plasma membrane,focal adhesion,actin cytoskeleton,lamellipodium,cell junction,filopodium,synapse;;;;",";;;;;neural tube closure,movement of cell or subcellular component,actin filament organization,axon guidance,actin polymerization or depolymerization,actin cytoskeleton organization,T cell receptor signaling pathway,cellular response to leukemia inhibitory factor;;;;",";;;;;actin binding,protein binding,profilin binding,SH3 domain binding,WW domain binding;;;;",0.000689189,"2","3","Filtered","2","1","4","2","1","2","3","Filtered","2","0","4","2","0","4.24323225","5.134429455","Filtered","6.399631023","NaN","7.550125599","7.852065086","NaN"
"48","usp4","Ubiquitin carboxyl-terminal hydrolase 4","A0A0A6YW28;P35123","A0A0A6YW28_MOUSE;UBP4_MOUSE",";nucleus,cytoplasm,cytosol,plasma membrane",";spliceosomal tri-snRNP complex assembly,ubiquitin-dependent protein catabolic process,protein deubiquitination,negative regulation of protein ubiquitination,regulation of protein stability,protein localization to cell surface",";thiol-dependent ubiquitin-specific protease activity,protein binding,adenosine receptor binding,identical protein binding,metal ion binding",7.26e-19,"1","3","1","6","3","8","1","2","1","3","1","6","3","8","1","2","6.559549332","9.419873238","4.769859791","9.503108978","7.930635929","9.223036766","7.981976986","2.999492168"
"49","naa15","N-alpha-acetyltransferase 15, NatA auxiliary subunit;N-alpha-acetyltransferase 15, NatA auxiliary subunit;N-alpha-acetyltransferase 15, NatA auxiliary subunit","A0A0A6YW80;G3X8Y3;Q80UM3","A0A0A6YW80_MOUSE;G3X8Y3_MOUSE;NAA15_MOUSE",";;nucleus,transcription factor complex,cytoplasm,cytosol,membrane,NatA complex,perinuclear region of cytoplasm",";;angiogenesis,transcription, DNA-templated,N-terminal protein amino acid acetylation,N-terminal peptidyl-methionine acetylation,cell differentiation,negative regulation of apoptotic process,positive regulation of transcription, DNA-templated,protein stabilization",";;RNA binding,protein binding,N-acetyltransferase activity,ribosome binding,peptide alpha-N-acetyltransferase activity,acetyltransferase activity",6.99e-33,"2","9","2","6","5","9","7","5","2","9","2","6","5","9","7","5","9.773943901","35.81188202","19.27165413","26.59873199","19.78050232","27.11138535","57.4496994","12.90666485"
"50","aif1l","Allograft inflammatory factor 1-like","A0A0A6YWH2;Q9EQX4","A0A0A6YWH2_MOUSE;AIF1L_MOUSE",";cytoplasm,focal adhesion,actin cytoskeleton,ruffle membrane,protein complex,extracellular exosome,actin filament",";biological_process",";calcium ion binding,actin filament binding",2.71e-28,"5","6","4","4","5","5","2","6","5","6","4","4","5","5","2","6","34.20539856","45.79001236","28.91238785","20.42878723","17.69363594","56.59131241","11.8827219","33.41359711"
"51","ncam1","Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Isoform 2 of Neural cell adhesion molecule 1;Isoform 3 of Neural cell adhesion molecule 1;Isoform 4 of Neural cell adhesion molecule 1","A0A0A6YWU2;A0A0A6YY47;E9Q589;E9QB01;P13595;P13595-2;P13595-3;P13595-4","A0A0A6YWU2_MOUSE;A0A0A6YY47_MOUSE;E9Q589_MOUSE;E9QB01_MOUSE;NCAM1_MOUSE;NCAM1_MOUSE;NCAM1_MOUSE;NCAM1_MOUSE",";;;;cytosol,plasma membrane,cell-cell junction,external side of plasma membrane,cell surface,membrane,integral component of membrane,axon,growth cone,extracellular matrix,anchored component of membrane,neuronal cell body,myelin sheath,extracellular exosome;;;",";;;;regulation of exocyst assembly,cell surface receptor signaling pathway,axon guidance,neuron projection development,homotypic cell-cell adhesion,positive regulation of calcium-mediated signaling;;;",";;;;protein binding,heparin binding,identical protein binding;;;",0.00103599,"Filtered","1","Filtered","2","Filtered","1","3","Filtered","Filtered","1","Filtered","2","Filtered","1","3","Filtered","Filtered","13.88464069","Filtered","9.015255928","Filtered","12.10629082","24.10405731","Filtered"
"52","atp6v1h","V-type proton ATPase subunit H","A0A0A6YX18;Q8BVE3","A0A0A6YX18_MOUSE;VATH_MOUSE",";vacuolar proton-transporting V-type ATPase, V1 domain,lysosomal membrane,extracellular exosome",";endocytosis,vacuolar acidification,ATP hydrolysis coupled proton transport",";proton-transporting ATPase activity, rotational mechanism",3.22e-40,"21","19","19","16","20","19","12","22","21","19","19","16","20","19","12","22","355.7858887","250.5193939","398.5120544","247.4968567","383.8814087","234.3165131","231.0864105","443.9527283"
"53","prkar2a","cAMP-dependent protein kinase type II-alpha regulatory subunit;Protein kinase, cAMP dependent regulatory, type II alpha","A0A0A6YX73;Q8K1M3","A0A0A6YX73_MOUSE;Q8K1M3_MOUSE",";",";",";",3.15e-61,"9","9","9","10","9","11","5","10","9","9","9","10","9","11","5","10","42.0562706","33.87466431","37.84513092","43.79617691","41.16970062","44.89188004","26.31429482","36.98155594"
"54","osbpl9","Oxysterol-binding protein","A0A0A6YXH3","A0A0A6YXH3_MOUSE","","","",4.71e-46,"4","3","3","5","4","2","1","3","4","3","3","5","4","2","1","3","23.77370453","18.47529984","22.06092072","20.49929047","22.61829758","16.63160706","23.82820892","22.28860474"
